Longitude Latitude Speed
14.800000 32.507670 6.273810
14.833333 32.507670 6.352149
14.866667 32.507670 6.432898
14.900000 32.507670 6.515969
14.933333 32.507670 6.601274
14.966667 32.507670 6.688728
15.000000 32.507670 6.778247
15.033333 32.507670 6.754834
15.066667 32.507670 6.692692
15.100000 32.507670 6.636348
15.133333 32.507670 6.585951
15.166667 32.507670 6.541637
15.200000 32.507670 6.503533
15.233333 32.507670 6.471745
15.266667 32.507670 6.432293
15.300000 32.507670 6.376593
15.333333 32.507670 6.319064
15.366667 32.507670 6.269775
15.400000 32.507670 6.228919
15.433333 32.507670 6.196666
15.466667 32.507670 6.173147
15.500000 32.507670 6.158464
15.533333 32.507670 6.139878
15.566667 32.507670 6.119202
15.600000 32.507670 6.110168
15.633333 32.507670 6.112825
15.666667 32.507670 6.127161
15.700000 32.507670 6.153091
15.733333 32.507670 6.190473
15.766667 32.507670 6.227448
15.800000 32.507670 6.258092
15.833333 32.507670 6.293111
15.866667 32.507670 6.335348
15.900000 32.507670 6.384659
15.933333 32.507670 6.440883
15.966667 32.507670 6.503840
16.000000 32.507670 6.573338
16.033333 32.507670 6.612166
16.066667 32.507670 6.648717
16.100000 32.507670 6.689273
16.133333 32.507670 6.733762
16.166667 32.507670 6.782107
16.200000 32.507670 6.834226
16.233333 32.507670 6.890032
16.266667 32.507670 6.932239
16.300000 32.507670 6.958309
16.333333 32.507670 6.985176
16.366667 32.507670 7.014363
16.400000 32.507670 7.045844
16.433333 32.507670 7.079585
16.466667 32.507670 7.115556
16.500000 32.507670 7.153722
16.533333 32.507670 7.143676
16.566667 32.507670 7.120900
16.600000 32.507670 7.100564
16.633333 32.507670 7.082686
16.666667 32.507670 7.067288
16.700000 32.507670 7.054385
16.733333 32.507670 7.043990
16.766667 32.507670 7.021418
16.800000 32.507670 6.984568
14.800000 32.535781 6.227134
14.833333 32.535781 6.285522
14.866667 32.535781 6.346318
14.900000 32.535781 6.409456
14.933333 32.535781 6.474866
14.966667 32.535781 6.542481
15.000000 32.535781 6.612232
15.033333 32.535781 6.569335
15.066667 32.535781 6.492982
15.100000 32.535781 6.422723
15.133333 32.535781 6.358756
15.166667 32.535781 6.301276
15.200000 32.535781 6.250460
15.233333 32.535781 6.206472
15.266667 32.535781 6.156621
15.300000 32.535781 6.093667
15.333333 32.535781 6.030840
15.366667 32.535781 5.976953
15.400000 32.535781 5.932250
15.433333 32.535781 5.896942
15.466667 32.535781 5.871194
15.500000 32.535781 5.855135
15.533333 32.535781 5.837390
15.566667 32.535781 5.819988
15.600000 32.535781 5.815202
15.633333 32.535781 5.823065
15.666667 32.535781 5.843524
15.700000 32.535781 5.876449
15.733333 32.535781 5.921630
15.766667 32.535781 5.967110
15.800000 32.535781 6.007219
15.833333 32.535781 6.052576
15.866667 32.535781 6.105446
15.900000 32.535781 6.165638
15.933333 32.535781 6.232937
15.966667 32.535781 6.307118
16.000000 32.535781 6.387940
16.033333 32.535781 6.436032
16.066667 32.535781 6.481617
16.100000 32.535781 6.531206
16.133333 32.535781 6.584706
16.166667 32.535781 6.642023
16.200000 32.535781 6.703060
16.233333 32.535781 6.767716
16.266667 32.535781 6.818018
16.300000 32.535781 6.851251
16.333333 32.535781 6.885042
16.366667 32.535781 6.921122
16.400000 32.535781 6.959453
16.433333 32.535781 7.000000
16.466667 32.535781 7.042724
16.500000 32.535781 7.087586
16.533333 32.535781 7.084682
16.566667 32.535781 7.070035
16.600000 32.535781 7.057754
16.633333 32.535781 7.047850
16.666667 32.535781 7.040333
16.700000 32.535781 7.035212
16.733333 32.535781 7.032492
16.766667 32.535781 7.017111
16.800000 32.535781 6.986795
14.800000 32.563883 6.227950
14.833333 32.563883 6.259785
14.866667 32.563883 6.294250
14.900000 32.563883 6.331306
14.933333 32.563883 6.370904
14.966667 32.563883 6.413000
15.000000 32.563883 6.457543
15.033333 32.563883 6.394584
15.066667 32.563883 6.303309
15.100000 32.563883 6.218369
15.133333 32.563883 6.140032
15.166667 32.563883 6.068549
15.200000 32.563883 6.004169
15.233333 32.563883 5.947117
15.266667 32.563883 5.885771
