Longitude Latitude Speed
16.500000 34.426477 7.778112
16.533333 34.426477 7.644997
16.566667 34.426477 7.519032
16.600000 34.426477 7.408405
16.633333 34.426477 7.313815
16.666667 34.426477 7.235889
16.700000 34.426477 7.175170
16.733333 34.426477 7.132098
16.766667 34.426477 7.092927
16.800000 34.426477 7.042959
16.833333 34.426477 6.995901
16.866667 34.426477 6.966253
16.900000 34.426477 6.954235
16.933333 34.426477 6.959940
16.966667 34.426477 6.983325
17.000000 34.426477 7.024213
17.033333 34.426477 7.037519
17.066667 34.426477 7.028581
17.100000 34.426477 7.028361
17.133333 34.426477 7.036860
17.166667 34.426477 7.054046
17.200000 34.426477 7.079855
17.233333 34.426477 7.114193
17.266667 34.426477 7.146412
17.300000 34.426477 7.172402
17.333333 34.426477 7.202028
17.366667 34.426477 7.237234
17.400000 34.426477 7.277940
17.433333 34.426477 7.324053
17.466667 34.426477 7.375473
17.500000 34.426477 7.432089
17.533333 34.426477 7.445446
17.566667 34.426477 7.452872
17.600000 34.426477 7.463047
17.633333 34.426477 7.475959
17.666667 34.426477 7.491593
17.700000 34.426477 7.509933
17.733333 34.426477 7.530961
17.766667 34.426477 7.537447
17.800000 34.426477 7.525674
17.833333 34.426477 7.512737
17.866667 34.426477 7.501680
17.900000 34.426477 7.492512
17.933333 34.426477 7.485239
17.966667 34.426477 7.479866
18.000000 34.426477 7.476398
18.033333 34.426477 7.433093
18.066667 34.426477 7.389494
18.100000 34.426477 7.346887
18.133333 34.426477 7.305290
18.166667 34.426477 7.264718
18.200000 34.426477 7.225189
18.233333 34.426477 7.186721
18.266667 34.426477 7.139054
18.300000 34.426477 7.081895
18.333333 34.426477 7.025453
18.366667 34.426477 6.969789
18.400000 34.426477 6.914921
18.433333 34.426477 6.860871
18.466667 34.426477 6.807656
18.500000 34.426477 6.755296
16.500000 34.453972 7.742503
16.533333 34.453972 7.602810
16.566667 34.453972 7.471097
16.600000 34.453972 7.355018
16.633333 34.453972 7.255323
16.666667 34.453972 7.172697
16.700000 34.453972 7.107734
16.733333 34.453972 7.060922
16.766667 34.453972 7.018334
16.800000 34.453972 6.965157
16.833333 34.453972 6.915313
16.866667 34.453972 6.883475
16.900000 34.453972 6.869895
16.933333 34.453972 6.874679
16.966667 34.453972 6.897791
17.000000 34.453972 6.939045
17.033333 34.453972 6.952432
17.066667 34.453972 6.942796
17.100000 34.453972 6.942053
17.133333 34.453972 6.950208
17.166667 34.453972 6.967226
17.200000 34.453972 6.993045
17.233333 34.453972 7.027568
17.266667 34.453972 7.060647
17.300000 34.453972 7.088284
17.333333 34.453972 7.119848
17.366667 34.453972 7.157230
17.400000 34.453972 7.200340
17.433333 34.453972 7.249077
17.466667 34.453972 7.303327
17.500000 34.453972 7.362968
17.533333 34.453972 7.377525
17.566667 34.453972 7.385822
17.600000 34.453972 7.396945
17.633333 34.453972 7.410879
17.666667 34.453972 7.427610
17.700000 34.453972 7.447119
17.733333 34.453972 7.469384
17.766667 34.453972 7.477417
17.800000 34.453972 7.467528
17.833333 34.453972 7.456573
17.866667 34.453972 7.447586
17.900000 34.453972 7.440571
17.933333 34.453972 7.435537
17.966667 34.453972 7.432486
18.000000 34.453972 7.431421
18.033333 34.453972 7.389421
18.066667 34.453972 7.347452
18.100000 34.453972 7.306500
18.133333 34.453972 7.266585
18.166667 34.453972 7.227723
18.200000 34.453972 7.189931
18.233333 34.453972 7.153226
18.266667 34.453972 7.107371
18.300000 34.453972 7.051906
18.333333 34.453972 6.997030
18.366667 34.453972 6.942991
18.400000 34.453972 6.889806
18.433333 34.453972 6.837498
18.466667 34.453972 6.786084
18.500000 34.453972 6.735587
16.500000 34.481458 7.709772
16.533333 34.481458 7.563339
16.566667 34.481458 7.425689
16.600000 34.481458 7.303956
16.633333 34.481458 7.198949
