Longitude Latitude Speed
20.000000 36.006138 10.329357
20.033333 36.006138 10.371030
20.066667 36.006138 10.407953
20.100000 36.006138 10.444993
20.133333 36.006138 10.482147
20.166667 36.006138 10.519416
20.200000 36.006138 10.556798
20.233333 36.006138 10.594293
20.266667 36.006138 10.631669
20.300000 36.006138 10.669440
20.333333 36.006138 10.707878
20.366667 36.006138 10.746594
20.400000 36.006138 10.785588
20.433333 36.006138 10.824855
20.466667 36.006138 10.864392
20.500000 36.006138 10.904199
20.533333 36.006138 10.931437
20.566667 36.006138 10.945965
20.600000 36.006138 10.960700
20.633333 36.006138 10.975642
20.666667 36.006138 10.990792
20.700000 36.006138 11.006146
20.733333 36.006138 11.021708
20.766667 36.006138 11.032592
20.800000 36.006138 11.033983
20.833333 36.006138 11.030850
20.866667 36.006138 11.028281
20.900000 36.006138 11.026270
20.933333 36.006138 11.024823
20.966667 36.006138 11.023937
21.000000 36.006138 11.023613
21.033333 36.006138 11.024391
21.066667 36.006138 11.025520
21.100000 36.006138 11.027421
21.133333 36.006138 11.030090
21.166667 36.006138 11.033529
21.200000 36.006138 11.037735
21.233333 36.006138 11.042708
21.266667 36.006138 11.041600
21.300000 36.006138 11.029119
21.333333 36.006138 11.012029
21.366667 36.006138 10.995340
21.400000 36.006138 10.979055
21.433333 36.006138 10.963180
21.466667 36.006138 10.947710
21.500000 36.006138 10.932650
20.000000 36.033103 10.388728
20.033333 36.033103 10.431807
20.066667 36.033103 10.469650
20.100000 36.033103 10.507627
20.133333 36.033103 10.545737
20.166667 36.033103 10.583977
20.200000 36.033103 10.622347
20.233333 36.033103 10.660845
20.266667 36.033103 10.698834
20.300000 36.033103 10.736465
20.333333 36.033103 10.774405
20.366667 36.033103 10.812638
20.400000 36.033103 10.851159
20.433333 36.033103 10.889963
20.466667 36.033103 10.929049
20.500000 36.033103 10.968413
20.533333 36.033103 10.995554
20.566667 36.033103 11.010379
20.600000 36.033103 11.025447
20.633333 36.033103 11.040755
20.666667 36.033103 11.056307
20.700000 36.033103 11.072095
20.733333 36.033103 11.088124
20.766667 36.033103 11.099236
20.800000 36.033103 11.100421
20.833333 36.033103 11.096928
20.866667 36.033103 11.094034
20.900000 36.033103 11.091745
20.933333 36.033103 11.090058
20.966667 36.033103 11.088975
21.000000 36.033103 11.088495
21.033333 36.033103 11.089264
21.066667 36.033103 11.090612
21.100000 36.033103 11.092767
21.133333 36.033103 11.095724
21.166667 36.033103 11.099487
21.200000 36.033103 11.104054
21.233333 36.033103 11.109422
21.266667 36.033103 11.108350
21.300000 36.033103 11.095037
21.333333 36.033103 11.076649
21.366667 36.033103 11.058712
21.400000 36.033103 11.041229
21.433333 36.033103 11.024202
21.466667 36.033103 11.007633
21.500000 36.033103 10.991524
20.000000 36.060059 10.450272
20.033333 36.060059 10.494586
20.066667 36.060059 10.533191
20.100000 36.060059 10.571955
20.133333 36.060059 10.610875
20.166667 36.060059 10.649949
20.200000 36.060059 10.689177
20.233333 36.060059 10.728557
20.266667 36.060059 10.767115
20.300000 36.060059 10.804620
20.333333 36.060059 10.842077
20.366667 36.060059 10.879826
20.400000 36.060059 10.917864
20.433333 36.060059 10.956188
20.466667 36.060059 10.994794
20.500000 36.060059 11.033682
20.533333 36.060059 11.060528
20.566667 36.060059 11.075484
20.600000 36.060059 11.090742
20.633333 36.060059 11.106304
20.666667 36.060059 11.122167
20.700000 36.060059 11.138325
20.733333 36.060059 11.154783
20.766667 36.060059 11.166113
20.800000 36.060059 11.167088
20.833333 36.060059 11.163218
20.866667 36.060059 11.159982
20.900000 36.060059 11.157382
20.933333 36.060059 11.155420
20.966667 36.060059 11.154095
21.000000 36.060059 11.153405
21.033333 36.060059 11.154058
21.066667 36.060059 11.155492
21.100000 36.060059 11.157743
21.133333 36.060059 11.160811
21.166667 36.060059 11.164698
21.200000 36.060059 11.169400
21.233333 36.060059 11.174916
21.266667 36.060059 11.173855
21.300000 36.060059 11.159954
21.333333 36.060059 11.140544
21.366667 36.060059 11.121670
21.400000 36.060059 11.103333
21.433333 36.060059 11.085537
21.466667 36.060059 11.068284
21.500000 36.060059 11.051578
20.000000 36.087006 10.512955
20.033333 36.087006 10.558441
20.066667 36.087006 10.597748
20.100000 36.087006 10.637239
20.133333 36.087006 10.676913
20.166667 36.087006 10.716768
20.200000 36.087006 10.756803
20.233333 36.087006 10.797012
20.266667 36.087006 10.836116
20.300000 36.087006 10.873502
20.333333 36.087006 10.910477
