Layer	Latitude	Transport(m^3/s)
47	37.6462	2.643494e+03
47	37.6731	2.542196e+03
47	37.7000	2.442229e+03
47	37.7269	2.332779e+03
47	37.7538	2.208251e+03
47	37.7808	2.061122e+03
47	37.8077	1.876818e+03
47	37.8346	1.647044e+03
47	37.8615	1.362749e+03
47	37.8885	1.026593e+03
47	37.9154	6.599394e+02
47	37.9423	2.935595e+02
47	37.9692	-4.487538e+01
47	37.9962	-3.384040e+02
47	38.0231	-5.254849e+02
47	38.0500	-5.931862e+02
47	38.0769	-5.404086e+02
47	38.1038	-3.793239e+02
47	38.1308	-1.220108e+02
47	38.1577	2.122488e+02
47	38.1846	5.923624e+02
47	38.2115	9.961188e+02
47	38.2385	1.400773e+03
47	38.2654	1.790205e+03
47	38.2923	2.092300e+03
47	38.3192	2.234484e+03
47	38.3462	2.250162e+03
47	38.3731	2.104557e+03
47	38.4000	1.882806e+03
46	37.0000	1.476330e+03
46	37.0269	1.120986e+03
46	37.0538	8.005453e+02
46	37.0808	4.980865e+02
46	37.1077	2.088853e+02
46	37.1346	-6.445782e+01
46	37.1615	-3.105196e+02
46	37.1885	-5.129215e+02
46	37.2154	-6.580538e+02
46	37.2423	-7.361756e+02
46	37.2692	-7.343349e+02
46	37.2962	-6.464778e+02
46	37.3231	-4.753859e+02
46	37.3500	-2.301173e+02
46	37.3769	8.537114e+01
46	37.4038	4.457267e+02
46	37.4308	8.141569e+02
46	37.4577	1.164972e+03
46	37.4846	1.474170e+03
46	37.5115	1.686664e+03
46	37.5385	1.745835e+03
46	37.5654	1.655207e+03
46	37.5923	1.426888e+03
46	37.6192	1.108660e+03
46	37.6462	7.686385e+02
46	37.6731	4.891903e+02
46	37.7000	3.105611e+02
46	37.7269	2.136151e+02
46	37.7538	1.479577e+02
46	37.7808	6.753159e+01
46	37.8077	-5.090950e+01
46	37.8346	-2.154592e+02
46	37.8615	-4.344796e+02
46	37.8885	-7.149374e+02
46	37.9154	-1.053889e+03
46	37.9423	-1.422605e+03
46	37.9692	-1.776210e+03
46	37.9962	-2.048667e+03
46	38.0231	-2.182675e+03
46	38.0500	-2.137469e+03
46	38.0769	-1.889032e+03
46	38.1038	-1.478037e+03
46	38.1308	-9.727533e+02
46	38.1577	-4.078318e+02
46	38.1846	1.957449e+02
46	38.2115	8.198307e+02
46	38.2385	1.447124e+03
46	38.2654	2.066653e+03
46	38.2923	2.669382e+03
46	38.3192	3.076898e+03
46	38.3462	3.119163e+03
46	38.3731	2.948847e+03
46	38.4000	2.708548e+03
