Layer	Longitude	Transport(m^3/s)
46	18.0333	1.551130e+03
46	18.0667	1.512439e+03
46	18.1000	1.442109e+03
46	18.1333	1.338425e+03
46	18.1667	1.140184e+03
46	18.2000	8.989891e+02
46	18.2333	6.239683e+02
46	18.2667	4.088295e+02
46	18.3000	2.045438e+02
46	18.3333	1.459116e+01
46	18.3667	-5.918645e+01
46	18.4000	-1.368246e+01
46	18.4333	9.628375e+01
46	18.4667	3.522525e+02
46	18.5000	6.468768e+02
46	18.5333	9.151434e+02
46	18.5667	1.031133e+03
46	18.6000	9.985878e+02
46	18.6333	8.794492e+02
46	18.6667	7.649586e+02
46	18.7000	6.920618e+02
46	18.7333	6.548917e+02
46	18.7667	6.297502e+02
46	18.8000	6.042229e+02
46	18.8333	5.764763e+02
46	18.8667	5.214662e+02
46	18.9000	4.016834e+02
46	18.9333	2.128469e+02
46	18.9667	8.923149e+00
46	19.0000	-1.096333e+02
46	19.0333	-9.784547e+01
46	19.0667	-3.898102e+00
46	19.1000	1.372018e+02
46	19.1333	3.476408e+02
46	19.1667	6.028088e+02
46	19.2000	8.201236e+02
46	19.2333	9.296942e+02
46	19.2667	9.216711e+02
46	19.3000	9.100316e+02
46	19.3333	1.014134e+03
46	19.3667	1.192694e+03
46	19.4000	1.442783e+03
46	19.4333	1.805229e+03
46	19.4667	2.207736e+03
46	19.5000	2.579230e+03
45	18.0000	1.424608e+03
45	18.0333	1.424278e+03
45	18.0667	1.434418e+03
45	18.1000	1.375853e+03
45	18.1333	1.245028e+03
45	18.1667	9.724467e+02
45	18.2000	5.914357e+02
45	18.2333	9.464329e+01
45	18.2667	-4.045564e+02
45	18.3000	-8.488524e+02
45	18.3333	-1.295095e+03
45	18.3667	-1.842379e+03
45	18.4000	-2.544549e+03
45	18.4333	-2.837614e+03
45	18.4667	-2.245906e+03
45	18.5000	-1.729575e+03
45	18.5333	-1.151318e+03
45	18.5667	-7.341302e+02
45	18.6000	-5.134615e+02
45	18.6333	-4.162836e+02
45	18.6667	-3.677387e+02
45	18.7000	-3.157686e+02
