Layer	Latitude	Transport(m^3/s)
47	37.3769	-5.842087e+02
47	37.4038	-6.533586e+02
47	37.4308	-7.984175e+02
47	37.4577	-1.003010e+03
47	37.4846	-1.252105e+03
47	37.5115	-1.511599e+03
47	37.5385	-1.751706e+03
47	37.5654	-1.964315e+03
47	37.5923	-2.146001e+03
47	37.6192	-2.290499e+03
47	37.6462	-2.400380e+03
47	37.6731	-2.483764e+03
47	37.7000	-2.544470e+03
47	37.7269	-2.586425e+03
47	37.7538	-2.605396e+03
47	37.7808	-2.605144e+03
47	37.8077	-2.594834e+03
47	37.8346	-2.584860e+03
47	37.8615	-2.578151e+03
47	37.8885	-2.561274e+03
47	37.9154	-2.525153e+03
47	37.9423	-2.476689e+03
47	37.9692	-2.414697e+03
47	37.9962	-2.336717e+03
47	38.0231	-2.226932e+03
47	38.0500	-2.117700e+03
47	38.0769	-2.006593e+03
47	38.1038	-1.905581e+03
47	38.1308	-1.826865e+03
47	38.1577	-1.777764e+03
47	38.1846	-1.755627e+03
47	38.2115	-1.748545e+03
47	38.2385	-1.739053e+03
47	38.2654	-1.682605e+03
47	38.2923	-1.579279e+03
47	38.3192	-1.452136e+03
47	38.3462	-1.328734e+03
47	38.3731	-1.230118e+03
47	38.4000	-1.167740e+03
46	37.0000	-4.524447e+02
46	37.0269	-6.092416e+02
46	37.0538	-7.391692e+02
46	37.0808	-8.699435e+02
46	37.1077	-1.027045e+03
46	37.1346	-1.212198e+03
46	37.1615	-1.398607e+03
46	37.1885	-1.528499e+03
46	37.2154	-1.545586e+03
46	37.2423	-1.475043e+03
46	37.2692	-1.343571e+03
46	37.2962	-1.145065e+03
46	37.3231	-9.062964e+02
46	37.3500	-7.262601e+02
46	37.3769	-6.661122e+02
46	37.4038	-7.249388e+02
46	37.4308	-8.800237e+02
46	37.4577	-1.117227e+03
46	37.4846	-1.406625e+03
46	37.5115	-1.709407e+03
46	37.5385	-1.985888e+03
46	37.5654	-2.225162e+03
46	37.5923	-2.424621e+03
46	37.6192	-2.569539e+03
46	37.6462	-2.647906e+03
46	37.6731	-2.665834e+03
46	37.7000	-2.643929e+03
46	37.7269	-2.602265e+03
46	37.7538	-2.555266e+03
46	37.7808	-2.515694e+03
46	37.8077	-2.470529e+03
46	37.8346	-2.415342e+03
46	37.8615	-2.369525e+03
46	37.8885	-2.330510e+03
46	37.9154	-2.297443e+03
46	37.9423	-2.268587e+03
46	37.9692	-2.220437e+03
46	37.9962	-2.139913e+03
46	38.0231	-2.015070e+03
46	38.0500	-1.894740e+03
46	38.0769	-1.784700e+03
46	38.1038	-1.698808e+03
46	38.1308	-1.644464e+03
46	38.1577	-1.616349e+03
46	38.1846	-1.596414e+03
46	38.2115	-1.576083e+03
46	38.2385	-1.553624e+03
46	38.2654	-1.487729e+03
46	38.2923	-1.377731e+03
46	38.3192	-1.254330e+03
46	38.3462	-1.148288e+03
46	38.3731	-1.080133e+03
46	38.4000	-1.052060e+03
45	37.0000	2.232100e+02
45	37.0269	1.166590e+01
45	37.0538	-1.720489e+02
45	37.0808	-2.845901e+02
45	37.1077	-3.273757e+02
45	37.1346	-3.168271e+02
45	37.1615	-2.698199e+02
45	37.1885	-2.275211e+02
45	37.2154	-1.835971e+02
45	37.2423	-8.133784e+01
45	37.2692	3.357516e+01
45	37.2962	1.713589e+02
45	37.3231	3.798423e+02
45	37.3500	6.150876e+02
45	37.3769	7.058956e+02
45	37.4038	6.159927e+02
45	37.4308	3.753313e+02
45	37.4577	1.156594e+01
45	37.4846	-4.517906e+02
45	37.5115	-9.344288e+02
45	37.5385	-1.370005e+03
45	37.5654	-1.755428e+03
45	37.5923	-2.104057e+03
45	37.6192	-2.408545e+03
45	37.6462	-2.640702e+03
45	37.6731	-2.785817e+03
45	37.7000	-2.841583e+03
45	37.7269	-2.799923e+03
45	37.7538	-2.681129e+03
45	37.7808	-2.514683e+03
45	37.8077	-2.301964e+03
45	37.8346	-2.042410e+03
45	37.8615	-1.798989e+03
45	37.8885	-1.592684e+03
45	37.9154	-1.420903e+03
45	37.9423	-1.266739e+03
45	37.9692	-1.102613e+03
45	37.9962	-9.120907e+02
45	38.0231	-6.980491e+02
45	38.0500	-5.173700e+02
45	38.0769	-3.914032e+02
45	38.1038	-3.311965e+02
45	38.1308	-3.253422e+02
45	38.1577	-3.513249e+02
45	38.1846	-3.478164e+02
45	38.2115	-2.975703e+02
45	38.2385	-2.296875e+02
45	38.2654	-1.426614e+02
45	38.2923	-4.314826e+01
45	38.3192	2.192323e+01
45	38.3462	4.550984e+01
45	38.3731	5.440331e+00
45	38.4000	-7.920837e+01
